id,label
0,neg
1,pos
2,neg
3,pos
4,pos
5,pos
6,pos
7,neg
8,pos
9,pos
10,neg
11,neg
12,neg
13,neg
14,pos
15,neg
16,neg
17,neg
18,pos
19,pos
20,pos
21,pos
22,neg
23,neg
24,pos
25,neg
26,pos
27,neg
28,pos
29,neg
30,neg
31,neg
32,neg
33,pos
34,neg
35,pos
36,neg
37,neg
38,pos
39,pos
40,pos
41,neg
42,pos
43,neg
44,pos
45,pos
46,neg
47,pos
48,neg
49,pos
50,pos
51,pos
52,neg
53,neg
54,pos
55,neg
56,neg
57,neg
58,pos
59,pos
60,pos
61,neg
62,neg
63,pos
64,neg
65,neg
66,pos
67,pos
68,pos
69,neg
70,neg
71,neg
72,neg
73,pos
74,neg
75,neg
76,neg
77,neg
78,neg
79,pos
80,pos
81,neg
82,neg
83,neg
84,neg
85,neg
86,pos
87,pos
88,neg
89,neg
90,neg
91,pos
92,neg
93,neg
94,neg
95,pos
96,pos
97,neg
98,neg
99,neg
100,pos
101,neg
102,neg
103,neg
104,pos
105,neg
106,neg
107,pos
108,neg
109,neg
110,neg
111,pos
112,pos
113,neg
114,neg
115,neg
116,neg
117,neg
118,neg
119,neg
120,neg
121,neg
122,neg
123,neg
124,neg
125,pos
126,neg
127,neg
128,neg
129,neg
130,neg
131,neg
132,neg
133,neg
134,pos
135,neg
136,pos
137,neg
138,pos
139,pos
140,pos
141,neg
142,pos
143,neg
144,neg
145,neg
146,pos
147,pos
148,pos
149,neg
150,neg
151,neg
152,neg
153,pos
154,neg
155,neg
156,neg
157,pos
158,pos
159,neg
160,neg
161,pos
162,pos
163,neg
164,neg
165,neg
166,neg
167,pos
168,neg
169,pos
170,pos
171,pos
172,pos
173,pos
174,neg
175,neg
176,neg
177,pos
178,pos
179,neg
180,neg
181,pos
182,pos
183,neg
184,pos
185,neg
186,pos
187,neg
188,pos
189,neg
190,neg
191,neg
192,neg
193,neg
194,neg
195,neg
196,neg
197,neg
198,neg
199,neg
200,pos
201,neg
202,neg
203,pos
204,neg
205,neg
206,neg
207,neg
208,pos
209,neg
210,neg
211,neg
212,pos
213,neg
214,pos
215,pos
216,neg
217,neg
218,neg
219,pos
220,neg
221,pos
222,neg
223,pos
224,pos
225,pos
226,pos
227,pos
228,pos
229,pos
230,pos
231,neg
232,neg
233,pos
234,neg
235,neg
236,neg
237,pos
238,pos
239,pos
240,neg
241,neg
242,pos
243,neg
244,pos
245,neg
246,neg
247,pos
248,neg
249,neg
250,neg
251,neg
252,neg
253,neg
254,pos
255,pos
256,pos
257,neg
258,neg
259,neg
260,pos
261,neg
262,pos
263,pos
264,neg
265,pos
266,pos
267,neg
268,neg
269,neg
270,pos
271,pos
272,neg
273,neg
274,neg
275,pos
276,neg
277,neg
278,neg
279,pos
280,pos
281,pos
282,neg
283,neg
284,neg
285,neg
286,neg
287,neg
288,pos
289,pos
290,pos
291,neg
292,neg
293,pos
294,pos
295,neg
296,pos
297,neg
298,pos
299,neg
300,pos
301,pos
302,pos
303,pos
304,pos
305,pos
306,neg
307,pos
308,neg
309,neg
310,pos
311,pos
312,pos
313,neg
314,pos
315,neg
316,pos
317,neg
318,neg
319,neg
320,pos
321,pos
322,neg
323,neg
324,pos
325,neg
326,pos
327,neg
328,pos
329,neg
330,neg
331,neg
332,pos
333,neg
334,neg
335,neg
336,neg
337,neg
338,neg
339,neg
340,neg
341,pos
342,pos
343,neg
344,neg
345,neg
346,neg
347,neg
348,pos
349,neg
350,pos
351,pos
352,pos
353,neg
354,neg
355,neg
356,neg
357,neg
358,neg
359,neg
360,pos
361,pos
362,neg
363,neg
364,neg
365,pos
366,neg
367,neg
368,neg
369,pos
370,neg
371,neg
372,neg
373,neg
374,neg
375,pos
376,neg
377,pos
378,pos
379,neg
380,neg
381,pos
382,neg
383,neg
384,pos
385,pos
386,pos
387,neg
388,pos
389,pos
390,neg
391,neg
392,neg
393,pos
394,neg
395,pos
396,pos
397,neg
398,neg
399,pos
400,neg
401,neg
402,neg
403,neg
404,neg
405,neg
406,neg
407,neg
408,neg
409,pos
410,pos
411,neg
412,neg
413,neg
414,pos
415,neg
416,pos
417,neg
418,neg
419,pos
420,neg
421,neg
422,neg
423,neg
424,pos
425,neg
426,pos
427,pos
428,neg
429,neg
430,neg
431,pos
432,pos
433,pos
434,neg
435,neg
436,pos
437,neg
438,pos
439,pos
440,neg
441,pos
442,neg
443,pos
444,neg
445,pos
446,neg
447,neg
448,neg
449,pos
450,pos
451,neg
452,pos
453,neg
454,neg
455,neg
456,neg
457,neg
458,pos
459,neg
460,pos
461,neg
462,pos
463,neg
464,neg
465,pos
466,neg
467,pos
468,neg
469,neg
470,pos
471,neg
472,neg
473,pos
474,pos
475,neg
476,neg
477,pos
478,neg
479,pos
480,neg
481,neg
482,neg
483,neg
484,pos
485,pos
486,neg
487,pos
488,neg
489,neg
490,pos
491,pos
492,pos
493,pos
494,neg
495,pos
496,pos
497,pos
498,neg
499,neg
500,pos
501,pos
502,neg
503,neg
504,neg
505,neg
506,pos
507,neg
508,pos
509,neg
510,pos
511,neg
512,pos
513,neg
514,neg
515,pos
516,pos
517,neg
518,pos
519,neg
520,neg
521,neg
522,neg
523,pos
524,pos
525,neg
526,neg
527,neg
528,neg
529,neg
530,neg
531,pos
532,neg
533,neg
534,neg
535,pos
536,neg
537,pos
538,pos
539,neg
540,neg
541,pos
542,neg
543,pos
544,pos
545,neg
546,neg
547,pos
548,neg
549,pos
550,neg
551,neg
552,neg
553,pos
554,neg
555,neg
556,neg
557,neg
558,neg
559,pos
560,neg
561,pos
562,neg
563,neg
564,neg
565,neg
566,pos
567,pos
568,neg
569,neg
570,neg
571,neg
572,neg
573,neg
574,neg
575,pos
576,pos
577,pos
578,pos
579,neg
580,neg
581,pos
582,neg
583,neg
584,neg
585,neg
586,neg
587,pos
588,neg
589,pos
590,neg
591,pos
592,pos
593,neg
594,pos
595,pos
596,neg
597,pos
598,neg
599,neg
600,neg
601,neg
602,neg
603,pos
604,neg
605,neg
606,neg
607,pos
608,neg
609,neg
610,neg
611,neg
612,pos
613,pos
614,neg
615,neg
616,neg
617,neg
618,neg
619,neg
620,neg
621,neg
622,neg
623,pos
624,neg
625,neg
626,neg
627,neg
628,pos
629,neg
630,pos
631,neg
632,neg
633,neg
634,neg
635,pos
636,pos
637,neg
638,neg
639,pos
640,pos
641,neg
642,pos
643,pos
644,neg
645,neg
646,neg
647,neg
648,pos
649,neg
650,pos
651,neg
652,neg
653,neg
654,neg
655,pos
656,neg
657,neg
658,neg
659,neg
660,neg
661,pos
662,pos
663,pos
664,neg
665,neg
666,neg
667,neg
668,pos
669,pos
670,neg
671,neg
672,pos
673,neg
674,neg
675,neg
676,pos
677,pos
678,pos
679,pos
680,neg
681,neg
682,neg
683,pos
684,pos
685,neg
686,neg
687,neg
688,pos
689,neg
690,neg
691,neg
692,neg
693,pos
694,neg
695,pos
696,neg
697,neg
698,pos
699,pos
700,pos
701,neg
702,neg
